state	year	region
Alabama	1982	alabama
Alaska	1976	alaska
Arizona	1975	arizona
Arkansas	1974	arkansas
California	1974	california
Connecticut	1974	connecticut
Delaware	1974	delaware
District of Columbia	1975	district of columbia
Florida	1974	florida
Georgia	1975	georgia
Hawaii	1976	hawaii
Illinois	1974	illinois
Indiana	1974	indiana
Iowa	1980	iowa
Kansas	1973	kansas
Kentucky	1974	kentucky
Louisiana	1931	louisiana
Maine	1974	maine
Maryland	1972	maryland
Massachusetts	1977	massachusetts
Michigan	1974	michigan
Minnesota	1985	minnesota
Missouri	1975	missouri
Montana	1974	montana
Nebraska	1978	nebraska
New Hampshire	1978	new hampshire
New Jersey	1975	new jersey
New York	1974	new york
North Carolina	1975	north carolina
North Dakota	1974	north dakota
Ohio	1961	ohio
Oklahoma	1975	oklahoma
Oregon	1983	oregon
Pennsylvania	1973	pennsylvania
Rhode Island	1979	rhode island
South Carolina	1974	south carolina
South Dakota	1977	south dakota
Tennessee	1975	tennessee
Texas	1974	texas
Vermont	1974	vermont
Virginia	1973	virginia
Washington	1976	washington
West Virginia	1975	west virginia
Wisconsin	1975	wisconsin
	1985	colorado
	1985	idaho
	1985	nevada
	1985	new mexico
	1985	utah
	1985	wyoming
